"","x","y"
"C",3.67195423785597,5.78483708761632
"u.1.4",3.71907928792228,5.743226793129
"u.1.5",4.72580864260505,6.10722239129245
"u.1.6",5.73253799728783,6.47121798945591
"i1",5.86690579773858,6.27273891819641
"u.1.6.1",5.73253799728783,6.47121798945591
"u.1.7",6.73926735197061,6.83521358761936
"u.1.8",7.74599670665339,7.19920918578282
"i2",7.57788811577484,8.61018436262384
"u.2.4",6.07473199422072,6.03478278898235
"u.2.3",5.10804505819189,6.57095230450588
"u.2.2",4.14135812216305,7.1071218200294
"u.2.1",3.17467118613422,7.64329133555293
"u.1.4.1",3.71907928792228,5.743226793129
"u.1.3",2.7123499332395,5.37923119496554
"u.1.2",1.70562057855672,5.01523559680209
